x,y
353.5074575,-469.3428361
353.4374575,-469.3428361
353.3674575,-469.3428361
353.2974575,-469.3428361
353.2274575,-469.3428361
353.1574575,-469.3428361
353.0874575,-469.3428361
353.0174575,-469.3428361
352.9474575,-469.3428361
352.8774575,-469.3428361
352.8074575,-469.3428361
352.7374575,-469.3428361
352.6674575,-469.3428361
352.5974575,-469.3428361
352.5274575,-469.3428361
352.4574575,-469.3428361
352.3874575,-469.3428361
352.3174575,-469.3428361
352.2474575,-469.3428361
352.1774575,-469.3428361
352.1074575,-469.3428361
352.0374575,-469.3428361
351.9674575,-469.3428361
351.8974575,-469.3428361
351.8274575,-469.3428361
351.7574575,-469.3428361
351.6874575,-469.3428361
351.6174575,-469.3428361
351.5474575,-469.3428361
351.4774575,-469.3428361
351.4074575,-469.3428361
351.3374575,-469.3428361
351.2674575,-469.3428361
351.1974575,-469.3428361
351.1274575,-469.3428361
351.0574575,-469.3428361
350.9874575,-469.3428361
350.9174575,-469.3428361
350.8474575,-469.3428361
350.7774575,-469.3428361
350.7074575,-469.3428361
350.6374575,-469.3428361
350.5674575,-469.3428361
350.4974575,-469.3428361
350.4274575,-469.3428361
350.3574575,-469.3428361
350.2874575,-469.3428361
350.2174575,-469.3428361
350.1474575,-469.3428361
350.0774575,-469.3428361
350.0074575,-469.3428361
349.9374575,-469.3428361
349.8674575,-469.3428361
349.7974575,-469.3428361
349.7274575,-469.3428361
349.6574575,-469.3428361
349.5874575,-469.3428361
349.5174575,-469.3428361
349.4474575,-469.3428361
349.3774575,-469.3428361
349.3074575,-469.3428361
349.2374575,-469.3428361
349.1674575,-469.3428361
349.0974575,-469.3428361
349.0274575,-469.3428361
348.9574575,-469.3428361
348.8874575,-469.3428361
348.8174575,-469.3428361
348.7474575,-469.3428361
348.6774575,-469.3428361
348.6074575,-469.3428361
348.5374575,-469.3428361
348.4674575,-469.3428361
348.3974575,-469.3428361
348.3274575,-469.3428361
348.2574575,-469.3428361
348.1874575,-469.3428361
348.1174575,-469.3428361
348.0474575,-469.3428361
347.9774575,-469.3428361
347.9074575,-469.3428361
347.8374575,-469.3428361
347.7674575,-469.3428361
347.6974575,-469.3428361
347.6274575,-469.3428361
347.5574575,-469.3428361
347.4874575,-469.3428361
347.4174575,-469.3428361
347.3474575,-469.3428361
347.2774575,-469.3428361
347.2074575,-469.3428361
347.1374575,-469.3428361
347.0674575,-469.3428361
346.9974575,-469.3428361
346.9274575,-469.3428361
346.8574575,-469.3428361
346.7874575,-469.3428361
346.7174575,-469.3428361
346.6474575,-469.3428361
346.5774575,-469.3428361
346.5074575,-469.3428361
346.4374575,-469.3428361
346.3674575,-469.3428361
346.2974575,-469.3428361
346.2274575,-469.3428361
346.1574575,-469.3428361
346.0874575,-469.3428361
346.0174575,-469.3428361
345.9474575,-469.3428361
345.8774575,-469.3428361
345.8074575,-469.3428361
345.7374575,-469.3428361
345.6674575,-469.3428361
345.5974575,-469.3428361
345.5274575,-469.3428361
345.4574575,-469.3428361
345.3874575,-469.3428361
345.3174575,-469.3428361
345.2474575,-469.3428361
345.1774575,-469.3428361
345.1074575,-469.3428361
345.0374575,-469.3428361
344.9674575,-469.3428361
344.8974575,-469.3428361
344.8274575,-469.3428361
344.7574575,-469.3428361
344.6874575,-469.3428361
344.6174575,-469.3428361
344.5474575,-469.3428361
344.4774575,-469.3428361
344.4074575,-469.3428361
344.3374575,-469.3428361
344.2674575,-469.3428361
344.1974575,-469.3428361
344.1274575,-469.3428361
344.0574575,-469.3428361
343.9874575,-469.3428361
343.9174575,-469.3428361
343.8474575,-469.3428361
343.7774575,-469.3428361
343.7074575,-469.3428361
343.6374575,-469.3428361
343.5674575,-469.3428361
343.4974575,-469.3428361
343.4274575,-469.3428361
343.3574575,-469.3428361
343.2874575,-469.3428361
343.2174575,-469.3428361
343.1474575,-469.3428361
343.0774575,-469.3428361
343.0074575,-469.3428361
342.9374575,-469.3428361
342.8674575,-469.3428361
342.7974575,-469.3428361
342.7274575,-469.3428361
342.6574575,-469.3428361
342.5874575,-469.3428361
342.5174575,-469.3428361
342.4474575,-469.3428361
342.3774575,-469.3428361
342.3074575,-469.3428361
342.2374575,-469.3428361
342.1674575,-469.3428361
342.0974575,-469.3428361
342.0274575,-469.3428361
341.9574575,-469.3428361
341.8874575,-469.3428361
341.8174575,-469.3428361
341.7474575,-469.3428361
341.6774575,-469.3428361
341.6074575,-469.3428361
341.5374575,-469.3428361
341.4674575,-469.3428361
341.3974575,-469.3428361
341.3274575,-469.3428361
341.2574575,-469.3428361
341.1874575,-469.3428361
341.1174575,-469.3428361
341.0474575,-469.3428361
340.9774575,-469.3428361
340.9074575,-469.3428361
340.8374575,-469.3428361
340.7674575,-469.3428361
340.6974575,-469.3428361
340.6274575,-469.3428361
340.5574575,-469.3428361
340.4874575,-469.3428361
340.4174575,-469.3428361
340.3474575,-469.3428361
340.2774575,-469.3428361
340.2074575,-469.3428361
340.1374575,-469.3428361
340.0674575,-469.3428361
339.9974575,-469.3428361
339.9274575,-469.3428361
339.8574575,-469.3428361
339.7874575,-469.3428361
339.7174575,-469.3428361
339.6474575,-469.3428361
339.5774575,-469.3428361
339.5074575,-469.3428361
339.4374575,-469.3428361
339.3674575,-469.3428361
339.2974575,-469.3428361
339.2274575,-469.3428361
339.1574575,-469.3428361
339.0874575,-469.3428361
339.0174575,-469.3428361
338.9474575,-469.3428361
338.8774575,-469.3428361
338.8074575,-469.3428361
338.7374575,-469.3428361
338.6674575,-469.3428361
338.5974575,-469.3428361
338.5274575,-469.3428361
338.4574575,-469.3428361
338.3874575,-469.3428361
338.3174575,-469.3428361
338.2474575,-469.3428361
338.1774575,-469.3428361
338.1074575,-469.3428361
338.0374575,-469.3428361
337.9674575,-469.3428361
337.8974575,-469.3428361
337.8274575,-469.3428361
337.7574575,-469.3428361
337.6874575,-469.3428361
337.6174575,-469.3428361
337.5474575,-469.3428361
337.4774575,-469.3428361
337.4074575,-469.3428361
337.3374575,-469.3428361
337.2674575,-469.3428361
337.1974575,-469.3428361
337.1274575,-469.3428361
337.0574575,-469.3428361
336.9874575,-469.3428361
336.9174575,-469.3428361
336.8474575,-469.3428361
336.7774575,-469.3428361
336.7074575,-469.3428361
336.6374575,-469.3428361
336.5674575,-469.3428361
336.4974575,-469.3428361
336.4274575,-469.3428361
336.3574575,-469.3428361
336.2874575,-469.3428361
336.2174575,-469.3428361
336.1474575,-469.3428361
336.0774575,-469.3428361
336.0074575,-469.3428361
335.9374575,-469.3428361
335.8674575,-469.3428361
335.7974575,-469.3428361
335.7274575,-469.3428361
335.6574575,-469.3428361
335.5874575,-469.3428361
335.5174575,-469.3428361
335.4474575,-469.3428361
335.3774575,-469.3428361
335.3074575,-469.3428361
335.2374575,-469.3428361
335.1674575,-469.3428361
335.0974575,-469.3428361
335.0274575,-469.3428361
334.9574575,-469.3428361
334.8874575,-469.3428361
334.8174575,-469.3428361
334.7474575,-469.3428361
334.6774575,-469.3428361
334.6074575,-469.3428361
334.5374575,-469.3428361
334.4674575,-469.3428361
334.3974575,-469.3428361
334.3274575,-469.3428361
334.2574575,-469.3428361
334.1874575,-469.3428361
334.1174575,-469.3428361
334.0474575,-469.3428361
333.9774575,-469.3428361
333.9074575,-469.3428361
333.8374575,-469.3428361
333.7674575,-469.3428361
333.6974575,-469.3428361
333.6274575,-469.3428361
333.5574575,-469.3428361
333.4874575,-469.3428361
333.4174575,-469.3428361
333.3474575,-469.3428361
333.2774575,-469.3428361
333.2074575,-469.3428361
333.1374575,-469.3428361
333.0674575,-469.3428361
332.9974575,-469.3428361
332.9274575,-469.3428361
332.8574575,-469.3428361
332.7874575,-469.3428361
332.7174575,-469.3428361
332.6474575,-469.3428361
332.5774575,-469.3428361
332.5074575,-469.3428361
332.4374575,-469.3428361
332.3674575,-469.3428361
332.2974575,-469.3428361
332.2274575,-469.3428361
332.1574575,-469.3428361
332.0874575,-469.3428361
332.0174575,-469.3428361
331.9474575,-469.3428361
331.8774575,-469.3428361
331.8074575,-469.3428361
331.7374575,-469.3428361
331.6674575,-469.3428361
331.5974575,-469.3428361
331.5274575,-469.3428361
331.4574575,-469.3428361
331.3874575,-469.3428361
331.3174575,-469.3428361
331.2474575,-469.3428361
331.1774575,-469.3428361
331.1074575,-469.3428361
331.0374575,-469.3428361
330.9674575,-469.3428361
330.8974575,-469.3428361
330.8274575,-469.3428361
330.7574575,-469.3428361
330.6874575,-469.3428361
330.6174575,-469.3428361
330.5474575,-469.3428361
330.4774575,-469.3428361
330.4074575,-469.3428361
330.3374575,-469.3428361
330.2674575,-469.3428361
330.1974575,-469.3428361
330.1274575,-469.3428361
330.0574575,-469.3428361
329.9874575,-469.3428361
329.9174575,-469.3428361
329.8474575,-469.3428361
329.7774575,-469.3428361
329.7074575,-469.3428361
329.6374575,-469.3428361
329.5674575,-469.3428361
329.4974575,-469.3428361
329.4274575,-469.3428361
329.3574575,-469.3428361
329.2874575,-469.3428361
329.2174575,-469.3428361
329.1474575,-469.3428361
329.0774575,-469.3428361
329.0074575,-469.3428361
328.9374575,-469.3428361
328.8674575,-469.3428361
328.7974575,-469.3428361
328.7274575,-469.3428361
328.6574575,-469.3428361
328.5874575,-469.3428361
328.5174575,-469.3428361
328.4474575,-469.3428361
328.3774575,-469.3428361
328.3074575,-469.3428361
328.2374575,-469.3428361
328.1674575,-469.3428361
328.0974575,-469.3428361
328.0274575,-469.3428361
327.9574575,-469.3428361
327.8874575,-469.3428361
327.8174575,-469.3428361
327.7474575,-469.3428361
327.6774575,-469.3428361
327.6074575,-469.3428361
327.5374575,-469.3428361
327.4674575,-469.3428361
327.3974575,-469.3428361
327.3274575,-469.3428361
327.2574575,-469.3428361
327.1874575,-469.3428361
327.1174575,-469.3428361
327.0474575,-469.3428361
326.9774575,-469.3428361
326.9074575,-469.3428361
326.8374575,-469.3428361
326.7674575,-469.3428361
326.6974575,-469.3428361
326.6274575,-469.3428361
326.5574575,-469.3428361
326.4874575,-469.3428361
326.4174575,-469.3428361
326.3474575,-469.3428361
326.2774575,-469.3428361
326.2074575,-469.3428361
326.1374575,-469.3428361
326.0674575,-469.3428361
325.9974575,-469.3428361
325.9274575,-469.3428361
325.8574575,-469.3428361
325.7874575,-469.3428361
325.7174575,-469.3428361
325.6474575,-469.3428361
325.5774575,-469.3428361
325.5074575,-469.3428361
325.4374575,-469.3428361
325.3674575,-469.3428361
325.2974575,-469.3428361
325.2274575,-469.3428361
325.1574575,-469.3428361
325.0874575,-469.3428361
325.0174575,-469.3428361
324.9474575,-469.3428361
324.8774575,-469.3428361
324.8074575,-469.3428361
324.7374575,-469.3428361
324.6674575,-469.3428361
324.5974575,-469.3428361
324.5274575,-469.3428361
324.4574575,-469.3428361
324.3874575,-469.3428361
324.3174575,-469.3428361
324.2474575,-469.3428361
324.1774575,-469.3428361
324.1074575,-469.3428361
324.0374575,-469.3428361
323.9674575,-469.3428361
323.8974575,-469.3428361
323.8274575,-469.3428361
323.7574575,-469.3428361
323.6874575,-469.3428361
323.6174575,-469.3428361
323.5474575,-469.3428361
323.4774575,-469.3428361
323.4074575,-469.3428361
323.3374575,-469.3428361
323.2674575,-469.3428361
323.1974575,-469.3428361
323.1274575,-469.3428361
323.0574575,-469.3428361
322.9874575,-469.3428361
322.9174575,-469.3428361
322.8474575,-469.3428361
322.7774575,-469.3428361
322.7074575,-469.3428361
322.6374575,-469.3428361
322.5674575,-469.3428361
322.4974575,-469.3428361
322.4274575,-469.3428361
322.3574575,-469.3428361
322.2874575,-469.3428361
322.2174575,-469.3428361
322.1474575,-469.3428361
322.0774575,-469.3428361
322.0074575,-469.3428361
321.9374575,-469.3428361
321.8674575,-469.3428361
321.7974575,-469.3428361
321.7274575,-469.3428361
321.6574575,-469.3428361
321.5874575,-469.3428361
321.5174575,-469.3428361
321.4474575,-469.3428361
321.3774575,-469.3428361
321.3074575,-469.3428361
321.2374575,-469.3428361
321.1674575,-469.3428361
321.0974575,-469.3428361
321.0274575,-469.3428361
320.9574575,-469.3428361
320.8874575,-469.3428361
320.8174575,-469.3428361
320.7474575,-469.3428361
320.6774575,-469.3428361
320.6074575,-469.3428361
320.5374575,-469.3428361
320.4674575,-469.3428361
320.3974575,-469.3428361
320.3274575,-469.3428361
320.2574575,-469.3428361
320.1874575,-469.3428361
320.1174575,-469.3428361
320.0474575,-469.3428361
319.9774575,-469.3428361
319.9074575,-469.3428361
319.8374575,-469.3428361
319.7674575,-469.3428361
319.6974575,-469.3428361
319.6274575,-469.3428361
319.5574575,-469.3428361
319.4874575,-469.3428361
319.4174575,-469.3428361
319.3474575,-469.3428361
319.2774575,-469.3428361
319.2074575,-469.3428361
319.1374575,-469.3428361
319.0674575,-469.3428361
318.9974575,-469.3428361
318.9274575,-469.3428361
318.8574575,-469.3428361
318.7874575,-469.3428361
318.7174575,-469.3428361
318.6474575,-469.3428361
318.5774575,-469.3428361
318.5074575,-469.3428361
318.4374575,-469.3428361
318.3674575,-469.3428361
318.2974575,-469.3428361
318.2274575,-469.3428361
318.1574575,-469.3428361
318.0874575,-469.3428361
318.0174575,-469.3428361
317.9474575,-469.3428361
317.8774575,-469.3428361
317.8074575,-469.3428361
317.7374575,-469.3428361
317.6674575,-469.3428361
317.5974575,-469.3428361
317.5274575,-469.3428361
317.4574575,-469.3428361
317.3874575,-469.3428361
317.3174575,-469.3428361
317.2474575,-469.3428361
317.1774575,-469.3428361
317.1074575,-469.3428361
317.0374575,-469.3428361
316.9674575,-469.3428361
316.8974575,-469.3428361
316.8274575,-469.3428361
316.7574575,-469.3428361
316.6874575,-469.3428361
316.6174575,-469.3428361
316.5474575,-469.3428361
316.4774575,-469.3428361
316.4074575,-469.3428361
316.3374575,-469.3428361
316.2674575,-469.3428361
316.1974575,-469.3428361
316.1274575,-469.3428361
316.0574575,-469.3428361
315.9874575,-469.3428361
315.9174575,-469.3428361
315.8474575,-469.3428361
315.7774575,-469.3428361
315.7074575,-469.3428361
315.6374575,-469.3428361
315.5674575,-469.3428361
315.4974575,-469.3428361
315.4274575,-469.3428361
315.3574575,-469.3428361
315.2874575,-469.3428361
315.2174575,-469.3428361
315.1474575,-469.3428361
315.0774575,-469.3428361
315.0074575,-469.3428361
314.9374575,-469.3428361
314.8674575,-469.3428361
314.7974575,-469.3428361
314.7274575,-469.3428361
314.6574575,-469.3428361
314.5874575,-469.3428361
314.5174575,-469.3428361
314.4474575,-469.3428361
314.3774575,-469.3428361
314.3074575,-469.3428361
314.2374575,-469.3428361
314.1674575,-469.3428361
314.0974575,-469.3428361
314.0274575,-469.3428361
313.9574575,-469.3428361
313.8874575,-469.3428361
313.8174575,-469.3428361
313.7474575,-469.3428361
313.6774575,-469.3428361
313.6074575,-469.3428361
313.5374575,-469.3428361
313.4674575,-469.3428361
313.3974575,-469.3428361
313.3274575,-469.3428361
313.2574575,-469.3428361
313.1874575,-469.3428361
313.1174575,-469.3428361
313.0474575,-469.3428361
312.9774575,-469.3428361
